launch_date,vehicle,mission_name,orbit,outcome,source,launch_site,lat,lon,label
2024-01-03 03:44:00,F9 B5 B1082‑1,Starlink: Group 7-9 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-03 23:04:00,F9 B5 B1076‑10,Ovzon-3,GTO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Broadband internet provider satellite.[25] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[26][27]","Broadband internet provider satellite.[25] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[26][27]","Broadband internet provider satellite.[25] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[26][27]","Broadband internet provider satellite.[25] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[26][27]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-07 22:35:00,F9 B5 B1067‑16,Starlink: Group 6-35 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[29]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[29]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[29]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[29]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-14 08:59:00,F9 B5 B1061‑18,Starlink: Group 7-10 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-15 01:52:00,F9 B5 B1073‑12,Starlink: Group 6-37 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[32] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[33]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[32] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[33]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[32] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[33]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[32] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[33]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-18 21:49:00,F9 B5 B1080‑5,Ax-3 (Crew Dragon C212-3 Freedom),LEO (ISS),Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-24 00:35:00,F9 B5 B1063‑16,Starlink: Group 7-11 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
