launch_date,mission_name,vehicle,source,launch_site,lat,lon,label,cloud_cover_pct,wind_speed_ms,precipitation_mm,temperature_c,relative_humidity_pct,surface_pressure_hpa,precip_3day_sum,cloud_cover_day_minus_1,wind_speed_max_3day,month,is_monsoon_season,day_of_year,is_cyclone_season,vehicle_PSLV,vehicle_GSLV,vehicle_LVM3,vehicle_Falcon
2023-09-02 00:00:00,Aditya-L1,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,1,35.916138,5.0051413,0.0019073486,30.541168,81.64722,1002.61127,0.30517578125,14.654541,4.236733436584473,9.0,1,245.0,0,1,0,0,0
2023-07-14 00:00:00,Chandrayaan-3,LVM3,ISRO,Sriharikota,13.7199,80.2304,1,15.093994,4.2126846,0.030040741,32.326324,72.41725,1003.10376,0.26702880859375,90.52124,3.8949780464172363,7.0,1,195.0,0,0,0,1,0
2013-11-05 00:00:00,Mars Orbiter Mission,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,1,11.904907,5.818242,0.009536743,27.570465,75.96347,1012.435,0.6146430969238281,15.426636,5.859097480773926,11.0,0,309.0,1,1,0,0,0
2008-10-22 00:00:00,Chandrayaan-1,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,1,100.0,4.5538583,1.7523766,26.14566,90.166245,1005.8644,2.2683143615722656,100.0,5.336740493774414,10.0,0,296.0,1,1,0,0,0
2017-02-15 00:00:00,Cartosat-2D,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,1,21.54541,4.8641357,0.0,26.653961,70.39537,1015.9519,0.0,7.4249268,5.599761486053467,2.0,0,46.0,0,1,0,0,0
2019-07-22 00:00:00,Chandrayaan-2,LVM3,ISRO,Sriharikota,13.7199,80.2304,1,100.0,4.775051,0.015735626,28.93155,79.52348,1001.7581,0.2346038818359375,100.0,5.282383918762207,7.0,1,203.0,0,0,0,1,0
2016-06-16 00:00:00,ISRO Scrubbed #0,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,0,100.0,4.133436,0.0,32.746735,70.378426,999.3875,0.09012222290039062,100.0,3.9156534671783447,6.0,1,168.0,0,1,0,0,0
2020-02-05 00:00:00,ISRO Scrubbed #1,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,0,44.924927,4.0616255,0.0,26.97818,72.502625,1011.0006,0.0,0.0,4.79984188079834,2.0,0,36.0,0,1,0,0,0
2013-02-23 00:00:00,ISRO Scrubbed #2,LVM3,ISRO,Sriharikota,13.7199,80.2304,0,0.0,3.5616796,0.0,25.832672,70.412704,1012.9469,0.015735626220703125,0.9979248,4.887292861938477,2.0,0,54.0,0,0,0,1,0
2021-09-20 00:00:00,ISRO Scrubbed #3,PSLV-XL,ISRO,Sriharikota,13.7199,80.2304,0,92.907715,4.5048494,0.0,29.021637,84.67198,1004.0694,0.007152557373046875,97.66846,4.932915210723877,9.0,1,263.0,0,1,0,0,0
2022-11-29 00:00:00,ISRO Scrubbed #4,LVM3,ISRO,Sriharikota,13.7199,80.2304,0,61.831665,3.8375444,0.0,26.735992,68.652306,1009.7369,0.05054473876953125,28.186035,3.566030979156494,11.0,0,333.0,1,0,0,1,0
